variable_name,variable_type,variable_label,missing_values,non_missing_values
c172_br,"haven_labelled, vctrs_vctr, double",Average Length of Water Shortages In Last Fiscal Year,269943,250
c35a,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages",265972,4221
c35a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Water Shortages",269905,288
c35b,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages",269737,456
c35b_br,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Water Shortages",270151,42
c18,"haven_labelled, vctrs_vctr, double",Water From Public Source,239603,30590
c19,"haven_labelled, vctrs_vctr, double",Application To Obtain A Telephone Connection Submitted Over The Last Two Years,201985,68208
c20,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Receive A Telephone Connection Service?,250049,20144
c21,"haven_labelled, vctrs_vctr, double",When You Applied For A Telephone Connection Was An Informal Gift Requested?,249984,20209
c22a,"haven_labelled, vctrs_vctr, double",Do You Currently Communicate With Clients And Suppliers By E-Mail?,134138,136055
c22b,"haven_labelled, vctrs_vctr, double",Establishment Has Its Own Website,86,270107
c36,"haven_labelled, vctrs_vctr, double",Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years,196390,73803
c36_br,"haven_labelled, vctrs_vctr, double",Application To Obtain Fixed Broadband Internet Connection Over The Last 2 Years,266784,3409
c37,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain Internet Connection?,259220,10973
c37_br,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain Internet Connection?,269696,497
c38,"haven_labelled, vctrs_vctr, double",Cost to obtain Internet connection,261997,8196
c38_br,"haven_labelled, vctrs_vctr, double",Cost to obtain Internet connection,269696,497
c39,"haven_labelled, vctrs_vctr, double",Did You Experience Internet Disruptions In Last FY?,193435,76758
c39_br,"haven_labelled, vctrs_vctr, double",Did You Experience Internet Disruptions In Last FY?,268227,1966
c40a,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Hours,256885,13308
c40a_br,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Hours,269226,967
c40b,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Minutes,265715,4478
c40b_br,"haven_labelled, vctrs_vctr, double",Average Length of Internet Disruptions: Minutes,269973,220
c41a,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Internet Disruptions",257466,12727
c41a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Losses As % of Annual Sales Due To Internet Disruptions",269828,365
c41b,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Internet Disruptions",269070,1123
c41b_br,"haven_labelled, vctrs_vctr, double","In Last FY, Value of Losses Due To Internet Disruptions",270149,44
c42,"haven_labelled, vctrs_vctr, double",How difficult to switch internet providers?,197377,72816
c42_br,"haven_labelled, vctrs_vctr, double",How difficult to switch internet providers?,265954,4239
c23,"haven_labelled, vctrs_vctr, double","Does The Firm Have A High-Speed, Broadband Internet Connection On Its Premises?",226344,43849
c24a,"haven_labelled, vctrs_vctr, double",Internet - Communication,267501,2692
c24b,"haven_labelled, vctrs_vctr, double",Is The Internet Connection Used To: Order Purchases For This Establishment?,250816,19377
c24c,"haven_labelled, vctrs_vctr, double",Is The Internet Connection Used To: Deliver Services To Your Clients?,254217,15976
c24d,"haven_labelled, vctrs_vctr, double",Is Internet Used To: Do Research And Develop Ideas On New Products And Services?,250817,19376
c25,"haven_labelled, vctrs_vctr, double",Was Unavailability Of Internet Connection Experienced In Last Fiscal Year?,264260,5933
c26,"haven_labelled, vctrs_vctr, double",Frequency Of Unavailability Of Internet Connection In Av. Month In Last Fisc Yr,267133,3060
c27,"haven_labelled, vctrs_vctr, double",Length Of Unavailability Of Internet Connection In Av. Month In Last Fiscal Yr,267508,2685
c29,"haven_labelled, vctrs_vctr, double",The Majority Of Cell Phones Used For The Operations Of The Establishment Are?,258858,11335
c30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Electricity To Operations Of This Establishment?,635,269558
c30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Telecommunications To Operations Of This Establishment?,163402,106791
d1a1a,"haven_labelled, vctrs_vctr, double",Establishment'S Main Product/Service Last Fiscal Yr,124941,145252
d1a1a_br,"haven_labelled, vctrs_vctr, double",Establishment's Main Porduct/Service,268549,1644
d1a2,"haven_labelled, vctrs_vctr, double",Main Product/Service ISIC (Rev. 3.1) Code,82870,187323
d1a2_v4,numeric,Main Product/Service ISIC (Rev. 4) Code,178956,91237
d1a3,"haven_labelled, vctrs_vctr, double",Main Product/Service: Percent Of Total Annual Sales,10767,259426
d2,"haven_labelled, vctrs_vctr, double","In Last Fiscal Year, What Were This Establishmentâ€™S Total Annual Sales?",52,270141
d2_br,"haven_labelled, vctrs_vctr, double","Follow-up: In Last Fiscal Year, What Were This Establishment'S",268715,1478
d2x,character,Please Also Write Out The Number,0,270193
d2a1,"haven_labelled, vctrs_vctr, double",What were the establishment's sales 2 years ago?,251340,18853
d2a1_br,"haven_labelled, vctrs_vctr, double",Follow-up: What were the establishment's sales 2 years ago?,269516,677
d2a1x,character,Please Also Write Out The Number,0,270193
d1a6a,"haven_labelled, vctrs_vctr, double",Total number of hotel rooms in the last FY,264707,5486
d1a6b,"haven_labelled, vctrs_vctr, double",Total areas of rooms in the last FY,264710,5483
d1a6c,"haven_labelled, vctrs_vctr, double",Specify units,265722,4471
d3a,"haven_labelled, vctrs_vctr, double",% Of Sales: National Sales,173,270020
d3a_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Sales: National Sales,268715,1478
d3b,"haven_labelled, vctrs_vctr, double",% O Sales: Indirect Exports,255,269938
d3b_br,"haven_labelled, vctrs_vctr, double",Follow-up: % O Sales: Indirect Exports,268715,1478
d3c,"haven_labelled, vctrs_vctr, double",% Of Sales: Direct Exports,297,269896
d3c_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Sales: Direct Exports,268715,1478
d31x,character,Main destination of exports (economy code),0,270193
d31x_br,"haven_labelled, vctrs_vctr, double",Main destination of exports (economy code),270173,20
d32,"haven_labelled, vctrs_vctr, double",Main point of exit,262392,7801
d32_br,"haven_labelled, vctrs_vctr, double",Main point of exit,269705,488
d42,"haven_labelled, vctrs_vctr, double","When goods exported directly, was any inspection, certification, or licensing do",268005,2188
d43a,"haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: days",268954,1239
d43b,"haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: hours",268954,1239
d4,"haven_labelled, vctrs_vctr, double","In Last Fy, Avg. Num. Of Days For Exported Goods To Clear Customs?",227218,42975
d4a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?",259791,10402
d4a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?",269948,245
d4b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs",266547,3646
d4b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs",270181,12
d33a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",262925,7268
d33a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",269759,434
d33b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",269245,948
d33b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",269989,204
d34,"haven_labelled, vctrs_vctr, double",FCA costs to comply with all export requirements (% of value of goods exported),260204,9989
d34_br,"haven_labelled, vctrs_vctr, double",FCA costs to comply with all export requirements (% of value of goods exported),269749,444
d342,"haven_labelled, vctrs_vctr, double",Costs to Comply with all Export Requirements (% of value of goods exported),263391,6802
d342b,"haven_labelled, vctrs_vctr, double",Most Frequently Used Incoterm When Exporting Directly,265578,4615
d35,"haven_labelled, vctrs_vctr, double",Any exports shipped by main parcel?,260061,10132
d35_br,"haven_labelled, vctrs_vctr, double",Any exports shipped by main parcel?,269766,427
d352,"haven_labelled, vctrs_vctr, double",Any online orders that didn't require custom duties in destination,267860,2333
d36a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",269535,658
d36a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",270087,106
d36b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",270075,118
d36b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",270184,9
d37,"haven_labelled, vctrs_vctr, double",Average cost of digital exports (% of value of goods),269535,658
d37_br,"haven_labelled, vctrs_vctr, double",Average cost of digital exports (% of value of goods),270087,106
d5,"haven_labelled, vctrs_vctr, double",Exports Longest Days - Customs,263821,6372
d5a,"haven_labelled, vctrs_vctr, double","In Clearing Exports Through Customs,Informal Gift/Payment Expected Or Requested?",258487,11706
d6,"haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Theft As % Of Value Of Products",241955,28238
d7,"haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Breakage Or Spoilage As % Of Value Of Products",242741,27452
d8,"haven_labelled, vctrs_vctr, double",In What Year Did This Establishment First Export Directly Or Indirectly?,200573,69620
d9,"haven_labelled, vctrs_vctr, double",Who Was The Principal Buyer For This EstablishmentÓ“ Output?,255794,14399
d10,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Theft",110883,159310
d10a,"haven_labelled, vctrs_vctr, double",% Consignment Value Dom. Exports Lost In Transit Due To Theft/Breakage/Spoilage,257316,12877
d11,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Breakage Or Spoilage?",124147,146046
d12a,"haven_labelled, vctrs_vctr, double",% Of Material Inputs And Supplies Of Domestic Origin In Last Fiscal Year,55756,214437
d12a_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Material Inputs And Supplies of Domestic origin In Last Fiscal Y,270193,0
d12b,"haven_labelled, vctrs_vctr, double",% Of Material Inputs And Supplies Of Foreign Origin In Last Fiscal Year,56247,213946
d12b_br,character,Follow-up: % of Material Inputs And Supplies of Foreign origin In Last Fiscal Ye,0,270193
d13,"haven_labelled, vctrs_vctr, double",Were Any Of These Material Inputs And Supplies Imported Directly?,182716,87477
d13_br,"haven_labelled, vctrs_vctr, double",Follow-up: Were Any of These Material Inputs And Supplies Imported Directly?,269807,386
d38x,character,Main origin of imports (economy code),0,270193
d38x_br,"haven_labelled, vctrs_vctr, double",Main origin of imports (economy code),270061,132
d39,"haven_labelled, vctrs_vctr, double",Main point of entry,258522,11671
d39_br,"haven_labelled, vctrs_vctr, double",Main point of entry,269612,581
d44,"haven_labelled, vctrs_vctr, double","Inspection, certification or licensing prior to point of entry",265528,4665
d45a,"haven_labelled, vctrs_vctr, double",Average duration to clear customs: Days,267061,3132
d45b,"haven_labelled, vctrs_vctr, double",Average duration to clear customs: Hours,267061,3132
d14,"haven_labelled, vctrs_vctr, double",Avg. Num. Of Days For Imported Goods To Clear Customs In Last Fiscal Year,214182,56011
d14a,"haven_labelled, vctrs_vctr, double",Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year,253718,16475
d14a_br,"haven_labelled, vctrs_vctr, double",Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year,269669,524
d14b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs",264176,6017
d14b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs",270193,0
d40a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age",259181,11012
d40a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age",269629,564
d40b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a",269217,976
d40b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a",270179,14
d41,"haven_labelled, vctrs_vctr, double",DAP costs to comply with all import requirements (% of value of goods imported),253860,16333
d41_br,"haven_labelled, vctrs_vctr, double",DAP costs to comply with all import requirements (% of value of goods imported),269612,581
d412,"haven_labelled, vctrs_vctr, double",Costs to Comply with all Import Requirements (% of value of goods imported),259051,11142
d412b,"haven_labelled, vctrs_vctr, double",Most Frequently Used Incoterm When Importing Directly,263716,6477
d15,"haven_labelled, vctrs_vctr, double",Imports Longest Days - Customs,264887,5306
d15a,"haven_labelled, vctrs_vctr, double","In Clearing Imports Through Customs,Informal Gift/Payment Expected Or Requested?",252607,17586
d16,"haven_labelled, vctrs_vctr, double","When You Receive Your Most Key Input, How Many Days Of Stock Is Available?",202596,67597
d17,"haven_labelled, vctrs_vctr, double",Av. Number Of Days Of Inventory On Hand After Receving Sales Item,242964,27229
d30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Transport?,67,270126
d30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Customs And Trade Regulations?,336,269857
o1,"haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?",196390,73803
o1_br,"haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?",266784,3409
o2,"haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?",260256,9937
o2_br,"haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?",269796,397
o3a,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes: Arbitration?,196575,73618
o3a_br,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes: Arbitration?,266784,3409
o3a2,"haven_labelled, vctrs_vctr, double",Reliable mechanism to  resolve commercial disputes: Arbitration?,220252,49941
o3b,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes:Mediation etc.?,196575,73618
o3b_br,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes:Mediation etc.?,266784,3409
o3b2,"haven_labelled, vctrs_vctr, double",Reliable mechanism to resolve commercial disputes:Mediation?,220252,49941
e1,"haven_labelled, vctrs_vctr, double","In Last Fy, Main Market For Establishment'S Main Product",103319,166874
e1_br,"haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. Asked of services esta",268209,1984
e1_esbr,"haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. COMBINED VERSION Manuf",269653,540
e2,"haven_labelled, vctrs_vctr, double",How Many Competitors Did This EstablishmentÓ“ Main Product/Product Line Face?,243068,27125
e2b,"haven_labelled, vctrs_vctr, double",Competitors For The Main Product/Service In The Main Market,142106,128087
e2b_br,numeric,Competitors For The Main Product/Service In The Main Market. Asked of services e,268223,1970
e2b_esbr,numeric,Competitors For The Main Product/Service In The Main Market. COMBINED VERSION Ma,269719,474
e31a,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,260035,10158
e31a_br,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,268347,1846
e31b,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,260158,10035
e31b_br,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,268263,1930
e312,"haven_labelled, vctrs_vctr, double",Which Best Descibes Establishment's Main Market,225310,44883
e3,"haven_labelled, vctrs_vctr, double",No. Sales Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?,253762,16431
e4,"haven_labelled, vctrs_vctr, double",Did Price Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?,253765,16428
e6,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company?,59396,210797
e6_br,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company? Asked of services e,268185,2008
e6_esbr,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company?  COMBINED VERSION M,269710,483
